BOOT_BUTTON,-61.00,54.10,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,67.80,-49.50,270.00,100nF,EAGLE-LTSPICE_C0402
C10,-32.80,54.18,270.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,9.73,-3.31,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,29.20,-0.60,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,31.00,-14.50,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,43.15,-12.56,270.00,4.7uF,EAGLE-LTSPICE_C0402
C2,69.20,-49.50,270.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,41.50,-0.50,270.00,4.7uF,EAGLE-LTSPICE_C0402
C3,40.00,-12.80,270.00,100uF,RCL_CT3528
C4,6.60,-19.20,90.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,60.90,-7.10,0.00,100nF,EAGLE-LTSPICE_C0402
C5,-18.50,51.40,180.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,55.90,-4.80,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,-57.80,54.00,270.00,100nF,EAGLE-LTSPICE_C0402
C7,-6.30,-27.80,180.00,10uF,EAGLE-LTSPICE_C0402
C8,7.10,-3.36,90.00,100nF,EAGLE-LTSPICE_C0402
C9,-75.10,53.50,270.00,100uF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,-36.00,54.10,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,32.60,-0.60,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,-33.20,48.80,90.00,100nF,EAGLE-LTSPICE_C0402
D1,60.20,-4.50,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,-37.80,-17.80,270.00,PGB1010603MR,DIOC1608X36N
D11,-52.30,-5.60,270.00,PGB1010603MR,DIOC1608X36N
D12,-72.50,51.00,180.00,PGB1010603MR,DIOC1608X36N
D2,30.30,-11.60,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,-5.80,-18.60,180.00,MBR0530,SOD3716X135N
D4,2.60,-23.80,0.00,MBR0530,SOD3716X135N
D5,2.70,-19.90,180.00,MBR0530,SOD3716X135N
D6,-13.60,-30.30,0.00,PGB1010603MR,DIOC1608X36N
D7,2.54,8.26,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,-39.70,-17.80,270.00,PGB1010603MR,DIOC1608X36N
D9,-35.70,-17.80,270.00,PGB1010603MR,DIOC1608X36N
EPD_C1,4.00,-30.40,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,-9.70,-30.40,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,-16.70,-35.20,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,-15.30,-35.20,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,2.10,-30.40,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,0.10,-30.40,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,-2.00,-30.40,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,-4.00,-30.40,270.00,1uF/50V,EAGLE-LTSPICE_C0402
